age,gender,annual_income,caste,state,occupation,family_size,land_owned,has_bank_account,eligible
56,Female,418377,ST,Madhya Pradesh,Salaried,9,9.25,1,1
69,Male,647093,ST,West Bengal,Small Business Owner,7,3.54,1,1
46,Other,471280,General,Madhya Pradesh,Small Business Owner,6,6.62,0,0
32,Female,391207,SC,Bihar,Daily Wage Worker,9,9.99,1,1
60,Other,314598,OBC,Maharashtra,Self Employed,7,2.63,1,1
25,Female,333022,ST,Maharashtra,Unemployed,5,5.76,1,1
38,Other,232170,OBC,Rajasthan,Unemployed,9,6.96,1,1
56,Male,243226,OBC,Karnataka,Self Employed,6,1.65,1,1
36,Male,194063,SC,West Bengal,Farmer,6,1.49,1,1
40,Male,642632,ST,Andhra Pradesh,Unemployed,4,4.56,0,1
28,Female,610881,OBC,Rajasthan,Small Business Owner,1,3.86,0,0
28,Other,610592,ST,Rajasthan,Daily Wage Worker,5,7.14,1,1
41,Male,473602,General,Karnataka,Salaried,9,0.7,1,0
70,Other,760580,General,Gujarat,Student,8,9.72,1,0
53,Other,163613,OBC,West Bengal,Farmer,8,0.14,1,1
57,Male,774698,ST,Andhra Pradesh,Unemployed,5,6.01,1,1
41,Male,537505,OBC,Maharashtra,Salaried,9,5.63,1,0
20,Other,464299,ST,Karnataka,Student,3,1.35,1,1
39,Male,592642,ST,Andhra Pradesh,Self Employed,3,1.51,1,1
70,Male,334334,SC,Bihar,Self Employed,1,7.93,1,1
19,Male,580430,SC,Rajasthan,Daily Wage Worker,9,8.88,1,1
41,Female,471614,SC,Karnataka,Student,6,2.83,1,1
61,Other,233043,OBC,Maharashtra,Self Employed,2,4.38,1,1
47,Other,758770,SC,Madhya Pradesh,Self Employed,8,3.55,1,1
55,Female,200575,SC,Maharashtra,Small Business Owner,9,0.73,1,1
19,Other,175438,General,Bihar,Unemployed,9,6.73,1,1
38,Male,622744,ST,Karnataka,Daily Wage Worker,2,8.25,1,1
50,Other,674455,ST,Bihar,Salaried,2,3.05,1,1
29,Male,314528,SC,West Bengal,Self Employed,7,9.9,1,1
39,Female,243392,ST,West Bengal,Small Business Owner,4,0.76,0,1
61,Male,458288,General,Madhya Pradesh,Farmer,1,6.62,1,1
42,Other,152239,General,Rajasthan,Farmer,8,4.48,1,1
66,Other,685719,SC,Gujarat,Salaried,2,4.47,1,0
44,Other,614798,General,Uttar Pradesh,Student,3,4.58,1,0
59,Female,754293,ST,Andhra Pradesh,Daily Wage Worker,5,2.59,1,1
45,Female,380170,OBC,Bihar,Small Business Owner,3,7.16,1,1
33,Other,171668,ST,Andhra Pradesh,Unemployed,7,7.22,1,1
32,Male,468734,OBC,Madhya Pradesh,Small Business Owner,7,2.82,1,1
64,Female,598333,SC,Andhra Pradesh,Farmer,2,8.35,1,1
68,Other,231948,OBC,Andhra Pradesh,Farmer,7,3.17,1,1
61,Other,535662,General,Maharashtra,Salaried,6,7.25,1,0
72,Female,664390,ST,Karnataka,Student,9,1.21,0,0
69,Female,364063,OBC,Rajasthan,Student,9,1.69,1,0
74,Female,673729,ST,Uttar Pradesh,Salaried,2,3.16,1,0
20,Male,208175,SC,Karnataka,Small Business Owner,7,5.94,1,1
54,Male,299877,SC,Maharashtra,Farmer,5,6.46,1,1
68,Other,186917,General,Andhra Pradesh,Small Business Owner,6,3.96,1,1
24,Female,267770,SC,Uttar Pradesh,Small Business Owner,1,0.78,1,1
38,Male,692613,OBC,Maharashtra,Daily Wage Worker,7,3.74,1,1
26,Female,593625,SC,Maharashtra,Farmer,6,6.89,0,1
56,Other,727673,General,Maharashtra,Student,4,6.71,1,0
35,Male,390093,ST,West Bengal,Unemployed,1,1.6,1,1
21,Male,363295,ST,Uttar Pradesh,Small Business Owner,9,0.08,0,1
42,Male,717304,SC,Maharashtra,Farmer,4,7.53,1,1
31,Other,655730,OBC,Gujarat,Small Business Owner,2,1.06,1,1
67,Female,99847,General,Andhra Pradesh,Daily Wage Worker,8,0.82,1,1
26,Male,108653,OBC,Uttar Pradesh,Self Employed,2,0.03,1,1
43,Other,791432,General,West Bengal,Farmer,5,4.33,1,1
70,Female,368766,SC,Bihar,Salaried,6,5.03,1,1
19,Other,339954,General,Bihar,Self Employed,8,6.38,1,0
37,Female,127842,General,Rajasthan,Small Business Owner,1,2.96,1,1
45,Other,322647,SC,Tamil Nadu,Salaried,1,7.1,1,1
64,Female,134761,OBC,Gujarat,Salaried,4,1.69,1,1
24,Male,480192,SC,Bihar,Salaried,5,8.32,0,0
61,Female,566637,General,West Bengal,Farmer,9,5.72,1,0
